Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,6,3,10,-1,1,N,100,77,B,,,11,12,
5B,600,9,4,19,-6,3,L,100,89,B,,,16,17,
5C,900,18,8,19,-8,4,N,80,92,B,,,18,19,Fatal Counter. Bonus Proration 110. First 6 active frames only hit above Bang
2A,300,7,3,11,-2,1,N,90,77,F,,,11,12,
2B,800,12,5,22,-10,3,L,100,89,B,,,16,20,
2C,850,13,3,22,-6,4,L,100,82,F,,,18,40,
6A,550,17,3,13,1,3,L,90,89,F,,,16,17,
6B,750,22,3,17,-1,4,N,70,92,H,,,18,"19, Slide 4",
6C,900,14,3,42,-26,4,L,100,82,H,,,18,25,Fatal Counter
3C,1000,15,9,21,-9,5,L,80,94,F,,,20,40,Fatal Counter
Counter Assault,0,13,3,34,-18,4,VS,50,92,B,1-20 All,,,,
Crush Trigger,1000,20,1,25,0,,N,80,60,B,,,24,60,
Crush Trigger Charged,1000,30,1,25,0,,L,80,100,B,,,24,60,
5D,Normal: 700<br/>5D Seal: 840,20,3,28,-14,4,VS,80,92,B,4-13 Guard HBFP,,18,40,
2D,Normal:850<br/>2D Seal:1020,23,3,25,-9,4,VS,80,92,B,7-22 Guard HBFP,,18,30,
6D,Normal:850<br/>6D Seal:1020,24,2,25,-8,4,VS,80,92,F,1-8 Guard HBFP,,18,40,
j.D,Normal: 750<br/>j.D Seal:900,22,3,24,-8,4,VS,80,92,H,4-12 Guard HBFP,,18,19,
Explosion,1000,4,15,0,0,5,N,70,94,P1,1-30 All,,20+2 Hitstop,80+2 Hitstop,Fatal Counter
Fire Punch,1300,16,2,21,-4,4,L,70,82,B,,,18,"36, Wall 60, Slide 13",
Super Rush,"Normal: 550*5, 0, 4000<br/>OD: 550*7, 0, 4000",18,24,20,-27,"3*6, 4",N,80,"Normal: 92*6,65<br/>OD: 92*8, 65",B,1-25 All,,16,100,Minimum damage 15%
Ashura,"Normal: 0, 3700<br/>OD: 0, 4167",9,5,30,-14,5,L,100,40,B,1-11 All,,20,,
EA,"Normal: 600, 50*18, 0, 1500<br/>AF: 600, 50*41, 0*2, 3300",10,3,34,-10,100,,100,,B,Fast 1-22 All<br/>Slow 1-12 All,,26,,10% Minimum Damage
Astral,19800,33,3,26,0,,,,,T,1-36 Guard All,,,,
