Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,5,2,11,-1,1,N,100,77,B,0,0,11,12,
5B,600,9,6,16,-5,3,L,100,89,B,0,0,16,17,
5C,700,8,7,16,-6,3,L,100,89,B,0,0,16,17,
5CC,800,7,6,16,-3,4,L,100,82,B,0,0,18,24,
2A,300,6,3,10,-1,1,N,100,77,F,0,0,11,12,
2B,550,9,3,12,-1,2,L,90,85,F,0,0,13,14,
2C,1000,22,6,26,-13,4,L,90,92,F,12-27 H,0,18,35,
6A,700,11,4,23,-9,3,L,90,89,B,5-14 H,0,16,26,
6B,750,22,3,20,-6,3,N,80,89,B,0,0,16,24,Bonus Proration 110%
6C,900,14,8,20,-11,3,L,100,89,B,0,0,16,24,
3C,900,30,4,12,1,3,L,80,89,F,6-23 HB,0,16,40,Bonus Proration 110%
3C Feint,0,0,0,35,0,0,0,0,0,0,6-23 HB,0,0,0,
j.A,300,6,3,8,0,1,N,80,77,H,0,0,11,12,
j.B,600,8,4,12,0,2,L,80,85,H,0,0,13,26,
j.C,700,13,6,11,0,3,L,80,89,H,0,0,16,17,
j.CC,800,5,3,22,0,3,L,80,89,H,0,0,16,17,
j.2C,800,20,0,9,0,2,L,80,85,H,0,0,13,17,"On hit/block, Makoto bounces upwards with recovery 10"
5D Lv1,700,13,3,31,-17,3,L,90,70,B,0,0,16,24,
5D Lv2,850,17,3,31,-15,4,L,90,80,B,0,0,18,30,
5D Lv3,1000,20,3,31,-13,5,L,90,80,B,0,0,20,60,Fatal Counter
5D LvG,1000,10,2,31,-12,5,L,90,80,B,0,0,20,60,Fatal Counter
2D Lv1,700,18,5,32,-21,3,L,90,70,B,0,0,16,30,
2D Lv2,850,21,5,32,-19,4,L,90,80,B,0,0,18,40,
2D Lv3,1000,24,5,32,-17,5,L,90,80,B,0,0,20,62,
2D LvG,1000,18,5,32,-17,5,L,90,80,B,0,0,20,62,
j.D Lv1,700,20,6,5,0,3,L,90,70,H,0,0,16,24,
j.D Lv2,850,21,6,5,0,4,L,90,80,H,0,0,18,40,
j.D Lv3,1000,23,6,5,0,5,L,90,80,H,0,0,20,56,Fatal Counter
j.D LvG,1000,20,6,5,0,5,L,90,80,H,0,0,20,56,Fatal Counter
Forward Throw,"0, 1500",7,3,23,0,4,N,100,50,T,0,0,0,42,
Back Throw,"0, 1500",7,3,23,0,4,N,100,50,T,0,0,0,60,
Air Throw,"700, 800",7,3,26,0,4,N,100,50,T,0,0,0,60,
Counter Assault,0,15,4,28,0,4,VS,50,92,B,1-20 All,0,18,19,
Crush Trigger,1000,20,1,25,0,0,N,80,60,B,0,0,24,60,
Crush Trigger Charged,1000,30,1,25,0,0,L,80,100,B,0,0,24,60,
Comet Cannon,350*3,16,0,49,-5,2,N,100,85,P1,0,0,13+0 Hitstop,14+0 Hitstop,Can cancel into Shot 22-34
Break Shot Lv1 (strike),800,0,3,18,-11,3,L,100,89,B,0,0,16,17,Frame Adv Listed assumes opponent blocks both the strike and projectile
Break Shot Lv1 (projectile),700,0,26,0,0,3,N,90,89,P1,0,0,16+1 Hitstop,2+1 Hitstop,
Break Shot Lv2 (strike),950,0,3,18,-9,4,L,100,92,B,0,0,18,19,Frame Adv Listed assumes opponent blocks both the strike and projectile
Break Shot Lv2 (projectile),800,0,26,0,0,4,N,90,92,P1,0,0,18+1 Hitstop,25+1 Hitstop,
Break Shot Lv3 (strike),1100,0,3,18,-7,5,L,100,94,B,0,0,20,21,Fatal Counter. Frame Adv Listed assumes opponent blocks both the strike and projectile
Break Shot Lv3 (projectile),900,0,26,0,0,5,N,90,94,P1,0,0,20+1 Hitstop,"35+1 Hitstop, 50 after Wall",
Break Shot LvG (strike),1100,0,3,18,5,5,L,100,94,B,0,0,20,21,Fatal Counter. Frame Adv Listed assumes opponent blocks both the strike and projectile
Break Shot LvG (projectile),900,0,26,0,0,5,N,90,94,P1,0,0,20+1 Hitstop,"35+1 Hitstop, 50 after Wall",Fatal Counter
Corona Upper,900,9,2 (2) 12,45,-42,4,VS,60,92,B,1-14 All,0,18,50,
Air Corona Upper,900,8,8,20,0,4,VS,60,92,H,1-9 All,0,18,50,
Meteor Dive Lv1,800,0,6,9,0,3,L,100,89,H,0,0,16,60,
Meteor Dive Lv2,1000,0,6,9,0,4,L,100,92,H,0,0,18,60,
Meteor Dive Lv3,1400,0,6,9,0,5,L,100,94,H,0,0,20,60,Fatal Counter
Meteor Dive LvG,1400,0,6,9,0,5,L,100,94,H,0,0,20,60,Fatal Counter
Shooting Star,1200,22,3,25,-9,4,N,70,92,B,1-7 FP<br/>8-17 All,0,18,"40, 25 after Wall",
Sirius Jolt,1000,26,3,28,-10,5,N,80,94,B,0,0,20,"50, 40 after Wall",
Space Counter,0,9,5,25,-10,0,N,100,80,B,1-13 Guard B,0,9,12,
Space Counter > attack Lv1,1000,0,8,45,-36,3,L,100,89,B,1-?? HB,0,16,30,
Space Counter > attack Lv2,1200,0,8,45,-34,4,L,100,92,B,1-?? HB,0,18,45,
Space Counter > attack Lv3,1400,0,8,45,-32,5,L,100,94,B,1-?? HB,0,20,60,Fatal Counter
Space Counter > attack LvG,1600,0,8,45,-32,5,L,100,94,B,1-?? HB,0,20,60,Fatal Counter
Asteroid Vision A,0,0,0,35,0,0,0,0,0,0,0,0,0,0,Can cancel into followups at various times. Startups for followups include the startups of this.
Asteroid Vision B,0,0,0,6,0,0,0,0,0,0,0,0,0,0,Can cancel into air normals and followups 13 until landing
Asteroid Vision C,0,0,0,6,0,0,0,0,0,0,0,0,0,0,Can cancel into air normals and followups 13 until landing
Asteroid Vision A > Break,0,0,0,23,0,0,0,0,0,0,0,0,0,0,
Asteroid Vision A > Eclipse Turn,0,0,0,31,0,0,0,0,0,0,0,0,0,0,Can pass through opponent 1-17
Asteroid Vision A > Rush,"250*2, 1000",13,3 (6) 3 (8) 4,33,-20,3,L,100,89,B,0,0,16,"22*2, 50",Followups occur after the second hit
Asteroid Vision A > Rush Infinite Rush,"250*4, 1000",3,2 (3) 2 (3) 2 (3) 2 (8) 4,33,-20,3,L,100,89,B,0,0,16,"22*4, 50",
Asteroid Vision A > Rush > Star Gazer,1000,11,4,14,-1,3,L,90,89,F,0,0,16,40,
Asteroid Vision A > Rush > Mars Chopper,1000,15,3,20,-6,3,N,90,89,B,0,0,16,40,
Asteroid Vision A > Rush > Lander Blow Lv1,700,0,3,15,-1,3,L,80,0,B,0,0,16,20,
Asteroid Vision A > Rush > Lander Blow Lv2,850,0,3,17,-1,4,L,80,0,B,0,0,18,22,
Asteroid Vision A > Rush > Lander Blow Lv3,1000,0,3,11,7,5,L,80,0,B,0,0,20,24,Fatal Counter
Asteroid Vision A > Rush > Lander Blow LvG,1000,0,3,11,7,5,L,80,0,B,0,0,20,30,Fatal Counter
Asteroid Vision A > Cosmic Ray Lv1,800,0,6,14,-3,3,L,100,89,B,1-?? F,0,16,20,
Asteroid Vision A > Cosmic Ray Lv2,950,0,6,14,-1,4,L,100,92,B,1-?? F,0,18,30,
Asteroid Vision A > Cosmic Ray Lv3,1100,0,6,14,1,5,L,100,94,B,1-?? F,0,20,40,Fatal Counter
Asteroid Vision A > Cosmic Ray LvG,1100,0,6,14,1,5,L,100,94,B,1-?? F,0,20,60,Fatal Counter
Asteroid Vision B/C > Lightning Arrow Lv1,800,0,20,8,0,3,N,80,89,H,0,0,16,60,
Asteroid Vision B/C > Lightning Arrow Lv2,1000,0,20,8,0,4,N,80,92,H,0,0,18,60,
Asteroid Vision B/C > Lightning Arrow Lv3,1200,0,20,8,0,5,N,80,94,H,0,0,20,60,Fatal Counter
Asteroid Vision B/C > Lightning Arrow LvG,1200,0,20,8,0,5,N,80,94,H,0,0,20,60,Fatal Counter
Big Bang Smash Lv1,1800,14,14,70,-40,3,N,80,79,P2,1-5 All,0,16+0,100+0,Minimum Damage 25%
Big Bang Smash Lv2,2200,14,14,70,-38,4,N,80,82,P2,1-5 All,0,18+0,100+0,Minimum Damage 25%
Big Bang Smash Lv3,2600,14,15,70,-36,5,N,80,84,P2,1-5 All,0,20+0,100+0,Minimum Damage 25%
Big Bang Smash LvG,3000,14,15,70,-36,5,N,80,84,P2,1-5 All,0,20+0,100+0,Minimum Damage 25%
Particle Flare Level 1,900,8,4,78,-60,3,N,75,Lv1: 85<br/>Lv2: 89<br/>Lv3: 92<br/>LvG: 94,B,1-?? All,0,Lv1: 16<br/>Lv2: 18<br/>Lv3: 20<br/>LvG: 20,60,Immediately enters recovery on block
Particle Flare Level 1 2,900,1,4,59,-46,Lv1: 3<br/>Lv2: 4<br/>Lv3: 5<br/>LvG: 5,0,75,100,B,1-?? All,0,0,150,
Particle Flare Level 1 2 OD,"20*28, 600",1,2*28 (7) 4,59,-42,"3*28, 5",0,75,100,B,1-?? All,0,0,150,Fatal Counter
Particle Flare Level 1 3,1800,28,6,11,0,0,0,100,Lv1: 85<br/>Lv2: 89<br/>Lv3: 92<br/>LvG: 94,H,1-End All,0,0,100,LvG: Fatal Counter
Particle Flare Level 2,1000,5,4,78,-58,Lv1: 3<br/>Lv2: 4<br/>Lv3: 5<br/>LvG: 5,N,75,Lv1: 85<br/>Lv2: 89<br/>Lv3: 92<br/>LvG: 94,B,1-?? All,0,Lv1: 16<br/>Lv2: 18<br/>Lv3: 20<br/>LvG: 20,60,Immediately enters recovery on block
Particle Flare Level 2 2,1000,1,4,59,-44,4,0,75,100,B,1-?? All,0,0,150,
Particle Flare Level 2 2 OD,"20*28, 600",1,2*28 (7) 4,59,-42,"3*28, 5",0,75,100,B,1-?? All,0,0,150,Fatal Counter
Particle Flare Level 2 3,2200,28,6,11,0,4,0,100,89,H,1-End All,0,0,100,LvG: Fatal Counter
Particle Flare Level 3,1100,5,4,78,-56,Lv1: 3<br/>Lv2: 4<br/>Lv3: 5<br/>LvG: 5,N,75,Lv1: 85<br/>Lv2: 89<br/>Lv3: 92<br/>LvG: 94,B,1-?? All,0,Lv1: 16<br/>Lv2: 18<br/>Lv3: 20<br/>LvG: 20,60,Immediately enters recovery on block
Particle Flare Level 3 2,1100,1,4,59,-42,Lv1: 3<br/>Lv2: 4<br/>Lv3: 5<br/>LvG: 5,0,75,100,B,1-?? All,0,0,150,
Particle Flare Level 3 2 OD,"20*28, 600",1,2*28 (7) 4,59,-42,"3*28, 5",0,75,100,B,1-?? All,0,0,150,Fatal Counter
Particle Flare Level 3 3,3000,28,6,11,0,5,0,100,Lv1: 85<br/>Lv2: 89<br/>Lv3: 92<br/>LvG: 94,H,1-End All,0,0,100,LvG: Fatal Counter
Particle Flare Level G,1200,8,4,78,-56,Lv1: 3<br/>Lv2: 4<br/>Lv3: 5<br/>LvG: 5,N,75,Lv1: 85<br/>Lv2: 89<br/>Lv3: 92<br/>LvG: 94,B,1-?? All,0,Lv1: 16<br/>Lv2: 18<br/>Lv3: 20<br/>LvG: 20,60,Immediately enters recovery on block
Particle Flare Level G 2,1100,1,4,59,-42,Lv1: 3<br/>Lv2: 4<br/>Lv3: 5<br/>LvG: 5,0,75,100,B,1-?? All,0,0,150,
Particle Flare Level G 2 OD,"20*28, 600",1,2*28 (7) 4,59,-42,"3*28, 5",0,75,100,B,1-?? All,0,0,150,Fatal Counter
Particle Flare Level G 3,4000,28,6,11,0,Lv1: 3<br/>Lv2: 4<br/>Lv3: 5<br/>LvG: 5,0,100,Lv1: 85<br/>Lv2: 89<br/>Lv3: 92<br/>LvG: 94,H,1-End All,0,0,100,LvG: Fatal Counter
EA,"Normal: 600, 800*2, 900 AF: 600, 800*3, 1530*2",10,3,34,-10,100,0,100,0,B,Fast: 1-12 All<br/>Slow: 1-22 All,0,26,0,10% Minimum Damage
Astral,30000,13,3,75,4,0,0,0,0,B,1-15 All,0,0,0,
