Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,6,3,12,-3,1,N,100,77,B,0,0,11,12,
5B,510,8,3,14,0,3,L,100,89,B,0,0,16,17,
5C,160*8,16,3,71,-8,3,L,100,89,P1,0,0,16+3,23+3,Swords appear in 4F intervals? Each sword is active for 3
2A,300,7,4,12,-4,1,N,100,77,F,0,0,11,12,
2B,480,9,4,11,-1,2,L,90,85,F,0,0,13,14,
2C,140*8,14,"1*6,2*2",24,-9,3,L,90,89,B,11-17 H,0,16,23,
6A,670,11,6,17,-6,3,L,90,89,B,5-11 H,0,16,26,
6B,740,10,5,15,-3,3,L,100,89,B,0,0,16,17,
6C,180*8,22,1*8,24,-6,4,L,100,82,B,0,0,21,"36, Slide 10",
3C,140*8,11,1*8,22,-6,3,L,90,89,F,0,0,16,36,
j.A,300,8,2,10,0,1,N,80,77,H,0,0,11,12,
j.B,590,9,4,12,0,3,L,80,89,H,0,0,16,17,
j.C,150*8,9,"1*2,2*6",25,0,3,L,80,89,H,0,0,16,20,
j.2C,150*8,15,1*8,10,0,3,L,80,89,H,0,0,16,24,
5D,600,15,13,48,-13,4,N,80,92,P1,0,0,16+4,17+4,"Can cancel into dashes on hit/block~36F. During first 6 active frames, Projectile Lv2. During OD, always Projectile Lv2"
5D OD,600,15,13,48,-8,4,N,80,92,P1,0,0,16+4,17+4,"Can cancel into dashes on hit/block~36F. During first 6 active frames, Projectile Lv2. During OD, always Projectile Lv2"
5DD,300,13,6,48,-11,4,N,80,92,P1,0,0,20+4,25+4,Can cancel into dashes on hit/block~36F
5DD OD,300,13,6,48,-10,4,N,80,92,P1,0,0,20+4,25+4,Can cancel into dashes on hit/block~36F
2D,600,11,11,45,-144,N,80,92,P1,0,0,16+4,17+4,"Can cancel into dashes on hit/block~33F. During first 5 active frames, Projectile Lv2. During OD, always Projectile Lv2"
2D OD,600,11,11,45,-9,4,N,80,92,P1,0,0,16+4,17+4,"Can cancel into dashes on hit/block~33F. During first 5 active frames, Projectile Lv2. During OD, always Projectile Lv2"
2DD,300,13,6,51,-14,4,N,80,92,P1,0,0,20+4,25+4,Can cancel into dashes on hit/block~39F
2DD OD,300,13,6,51,-13,4,N,80,92,P1,0,0,20+4,25+4,Can cancel into dashes on hit/block~39F
6D,600,13,13,45,-124,N,80,92,P1,0,0,16+4,17+4,"Can cancel into dashes on hit/block~36F. During first 3 active frames, Projectile Lv2. During OD, always Projectile Lv2"
6D OD,600,13,13,45,-7,4,N,80,92,P1,0,0,16+4,17+4,"Can cancel into dashes on hit/block~36F. During first 3 active frames, Projectile Lv2. During OD, always Projectile Lv2"
6DD,300,13,6,56,-19,4,N,80,92,P1,0,0,20+4,25+4,Can cancel into dashes on hit/block~44F
6DD OD,300,13,6,56,-18,4,N,80,92,P1,0,0,20+4,25+4,Can cancel into dashes on hit/block~44F
4D,600,27,3,57,-10,4,N,80,92,P1,0,0,16+4,17+4,Can cancel into dashes on hit/block~48F. Fatal Counter
4D OD,600,27,3,57,-5,4,N,80,92,P1,0,0,16+4,17+4,Can cancel into dashes on hit/block~48F. Fatal Counter
4DD,300,13,6,50,-13,4,N,80,92,P1,0,0,20+4,25+4,Can cancel into dashes on hit/block~38F
4DD OD,300,13,6,50,-12,4,N,80,92,P1,0,0,20+4,25+4,Can cancel into dashes on hit/block~38F
