Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300*2,6,2 (6) 3,11,-2,1,N,100,77,B,0,0,11,12,
5B,600,8,6,15,-7,2,L,100,85,BP,0,0,13,17,
5C,850,13,8,22,-13,3,L,100,89,B,0,0,16,17,Fatal Counter. Can cancel into 5CC on 25F
5CC,850,11,8,24,-11,5,L,100,84,B,0,0,20,"50, Slide 30",
2A,300,7,4,9,-2,1,N,100,77,F,0,0,11,12,
2B,550,9,6,18,-10,2,L,90,85,FP,0,0,13,14,
2C,1200,23,13,42,-34,5,N,50,94,B,5-35 Guard HBFP,0,20,64,Bonus Proration 110%
6A,700,13,5,17,-5,3,L,90,79,B,7-12 Guard H,0,16,30,
6B,700,11,3,15,-1,3,L,100,85,B,0,0,16,17,
6C,80*N,13,3*N,13,4,4,L,100,99,H,0,0,18,19,Active until landing. Can use wind to blow Rachel upwards and do more hits.
3C,400*3,10,"4,4,4",15,-2,3,L,100,79,F,0,0,16,80,
3[C],400*7,10,4*7,15,-2,3,L,100,79,F,0,0,16,80,
4B,750,26,4,17,-2,4,N,90,92,B,0,0,18,53,
j.A,300,8,3,12,0,1,N,80,77,H,0,0,11,12,
j.B,600,9,6,12,0,2,L,80,85,H,0,0,13,15,
j.C,800,8,6,20,0,3,L,80,89,H,0,0,16,32,
j.2C,800,13,Until L,20,0,3,N,80,79,H,0,0,16,25,
j.2C High,1200,13,Until L,20,0,4,N,90,89,H,0,0,18,62,
j.2C Very High,1800,13,Until L,20,0,5,L,90,89,H,0,0,20,100,Bonus Proration 110%
j.[C],0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ground Throw,1500,7,3,23,0,4,N,100,50,T,0,0,0,80,
Air Throw,1500,7,3,26,0,4,N,100,50,T,0,0,0,100,
Counter Assault,0,13,3,33,0,4,VS,50,92,B,1-20 All,0,0,0,
Crush Trigger,1000,20,1,25,0,0,N,80,60,B,0,0,24,60,
Crush Trigger Charged,1000,30,1,25,0,0,L,80,100,B,0,0,24,60,
Tiny Lobelia A,850,11,0,47,-9,3,L,80,89,P1,0,0,16+11 Hitstop,30+11,
Tiny Lobelia B,850,20,0,52,-5,3,L,80,89,P1,0,0,16+11 Hitstop,30+11,
Tiny Lobelia C,850,20,0,52,-5,3,L,80,89,P1,0,0,16+11 Hitstop,30+11,
Air Tiny Lobelia A,850,9,0,62,0,3,L,80,89,P1,0,0,16+11 Hitstop,30+11,
Air Tiny Lobelia B,850,22,0,64,0,3,L,80,89,P1,0,0,16+11 Hitstop,30+11,
Air Tiny Lobelia C,850,22,0,64,0,3,L,80,89,P1,0,0,16+11 Hitstop,30+11,
Sword Iris Ground,900,17,8,40,2,2,L,80,82,P1,0,0,13+12 Hitstop,46+12,Frame Adv listed is vs Ground version
Sword Iris Air,900,17,8,48,2,2,L,80,82,P1,0,0,13+12 Hitstop,46+12,Frame Adv listed is vs Ground version
Barrel Lotus,600,25,60,36,0,2,N,70,92,P1,0,0,13+10 Hitstop,20+10,
George the 13th Ground Summon,0,25,0,49,0,0,0,0,0,0,0,0,0,0,
George the 13th Air Summon,0,25,0,82,0,0,0,0,0,0,0,0,0,0,
George the 13th,250*6,27,2*6,0,0,3,L,80,89,P1,0,0,16+4 Hitstop,35+4,
Ivy Blossom,19,0,0,32,0,0,0,0,0,0,0,0,0,0,
Air Ivy Blossom,18,0,0,30,0,0,0,0,0,0,0,0,0,0,
Baden Baden Lily,Normal: 450*6 OD: 350*12,17,2*6,70,51,2,N,100,75,P2,14-22 All,0,13+4 Hitstop,100+4,Minimum Damage 15%
Air Baden Baden Lily,Normal: 450*6<br/>OD: 350*12,30,2*6,8,0,2,N,100,75,P2,29-46 All,0,13+4 Hitstop,100+4,Minimum Damage 15%
Baden Baden Lily Rod,250*4,0,2*4,0,0,2,N,100,75,P2,0,0,13+4 Hitstop,100+4,Minimum Damage 15%
