Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,5,3,9,0,1,N,100,77,B,0,0,11,12,
5B,660,8,8,16,-7,3,L,100,89,B,0,0,16,17,Hitbox becomes fully extended on 10
5C,900,13,4,20,-5,4,L,100,92,B,0,0,18,19,
2A,300,7,2,10,0,1,N,100,77,F,0,0,11,12,
2B,550,9,2,15,-3,2,L,90,85,F,0,0,13,14,
2C,880,12,3,13,1,3,L,100,89,F,0,0,16,19,
6A,700,12,4,24,-7,3,L,90,79,B,4-13 H,0,16,26,
6B,800,24,4,19,-6,3,N,80,89,B,0,0,16,17,Bonus Proration 110%
6C,700,20,2 (4) 2,33,-6,4,L,90,82,"F, B",0,0,18,40,
3C,900,12,3,27,-11,4,L,100,92,F,0,0,18,40,
j.A,300,7,3,9,0,1,N,80,77,H,0,0,11,12,
j.B,600,10,6,15,0,2,L,80,85,H,0,0,13,14,
j.C,900,12,4,32,0,3,L,80,89,H,0,0,16,19,
5D,"Normal: 500, 600<br/>OD: 500, 660",15,5 (12) 3,29,-11,5,L,100,"94, 84",B,0,0,20,"24, 38",Fatal Counter
2D,Normal: 800<br/>OD: 880,17,2,23,-6,4,L,100,82,F,0,0,18,19,
6D,Normal: 1000<br/>OD: 1100,21,3,30,-12,5,L,80,84,H,4-20 F,0,20,Normal: 25<br/>OD: 40,Bonus Proration 110%
j.D,Normal: 740<br/>OD: 814,13,4,23,0,3,L,80,79,H,0,0,16,Normal: 22<br/>OD: 36,
Forward Throw,1500,7,3,23,0,4,N,100,50,T,0,0,0,60,
Back Throw,"0, 1500",7,3,23,0,4,N,100,50,T,0,0,0,60,
Air Throw,1500,7,3,26,0,4,N,100,50,T,0,0,0,80,
Counter Assault,0,13,3,32,0,4,VS,50,92,B,1-20 All,0,18,19,
Crush Trigger,1000,20,1,25,0,0,N,80,60,B,0,0,24,60,
Crush Trigger Charged,1000,30,1,25,0,0,L,80,100,B,0,0,24,60,
Dead Spike,900,26,13,57,-1,4,N,80,82,P1,0,0,18+12 Hitstop,33,Dash Cancel 33-44
Dead Spike OD,"900, 300*2",26,19,57,9,4,N,80,82,P1,0,0,18+6 Hitstop,36,Dash Cancel 33-44
Hells Fang,900,15,13,26,-4,4,L,80,92,B,0,0,22,40,Ragna immediately goes into recovery (26F) on hit/block. Can cancel into followup during the first 16F of recovery on hit/block/whiff
HF Additional Attack,Normal: 1000<br/>OD: 1100,19,3,35,-19,4,L,82,92,B,0,0,18,Normal: 56<br/>OD: 80,
Gauntlet Hades,800,20,7,26,-12,4,N,90,92,H,0,0,18,30,Can cancel into followup during recovery or after attack is blocked
Spin Kick,Normal: 800<br/>OD: 880,9,4,12,0,4,N,100,82,H,0,0,18,Normal: 38<br/>OD: 70,Can not hit crouching characters
Air Gauntlet Hades,700,12,9,15,0,4,N,90,92,H,0,0,18,30,Can cancel into followup during recovery or after attack is blocked
Nightmare Edge,480*N,17,"2, Until L (2) 2",20,-5,3,L,80,79,H,0,0,16,60,Can cancel into followup during recovery
NE Additional Attack,Normal: 1200<br/>OD: 1320,12,3,33,-17,4,L,82,92,B,0,0,18,Normal: 60<br/>OD: 80,During OD can dash cancel on hit/block
Blood Scythe,Normal: 1250<br/>OD: 1375,37,3,19,3,5,L,80,84,H,5-16 BFP,0,24,"Normal: 28, Slide 12<br/>OD: 60",Fatal Counter
Air Blood Scythe,Normal: 1000<br/>OD: 1100,21,4,14,0,5,N,80,84,H,0,0,20,"Normal: 60, Slide 15<br/>OD: 60",
Not Over Yet,1110,11,8,11,0,4,L,100,92,0,0,0,18,"30, Slide 20",Can dash cancel
C Inferno Divider,600*2,9,"5,8",39,-28,4,VS,60,82,B,1-13 All,0,18,42,
D Inferno Divider,Normal: 600*2 OD: 660*2,7,"5,8",38,-37,4,L,100,82,B,0,0,18,42,
Air C Inferno Divider,600*2,5,"5,8",19,0,4,VS,60,82,H,1-9 All,0,18,42,
Air D Inferno Divider,Normal: 600*2<br/>OD: 660*2,7,"5,8",19,0,4,L,100,82,H,0,0,18,42,
Upper,460,14,3,19,0,4,L,100,92,H,0,0,18,42,
Straight Punch,500,15,3,17,0,4,L,100,82,H,0,0,18,"35, Wall 30",
Ax Kick,Normal: 1400<br/>OD: 1540,19,4,13,0,4,L,100,82,H,0,0,18,60,
Dash Cancel,0,0,0,22,0,0,0,0,0,0,0,0,0,0,
Carnage Scissors,"1250, 3200",21,2 (38) 4,58,-43,4,N,80,82,B,1-3 All,0,18,90,"Hold button to cancel second attack, in that case recovery is 36F, Frame Adv -19"
Carnage Scissors Cancel,1250,21,2 (38) 4,36,-19,4,N,80,82,B,1-3 All,0,18,90,"Hold button to cancel second attack, in that case recovery is 36F, Frame Adv -19"
Carnage Scissors OD,"1250, 3200, 320*4",21,"2 (38) 4,1,1,1,1",58,-40,4,N,80,82,B,1-3 All,0,18,90,"Hold button to cancel second attack, in that case recovery is 36F, Frame Adv -19"
Carnage Scissors OD Cancel,"1250",21,"2 (38) 4,1,1,1,1",36,-19,4,N,80,82,B,1-3 All,0,18,90,"Hold button to cancel second attack, in that case recovery is 36F, Frame Adv -19"
Devoured by Darkness,"Normal: 0, 4000<br/>OD: 0, 5000",25,3,55,-39,4,VS,100,"100, 25",B,1-16 All,0,18,100,
EA,"Normal: 600, 2450 AF: 600, 700*4, 2450",10,3,34,-10,0,L,100,100,B,Fast: 1-12 All<br/>Slow: 1-22 All,0,26,0,Minimum Damage 10%
Astral,15000,19,2,24,-5,5,L,0,0,B,0,0,20,0,
