Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,5,3,9,0,1,N,100,77,B,0,0,11,12,
5B,500,8,3,12,2,3,L,100,89,B,0,0,16,17,
5C,490*2,11,2 (11) 2,20,-2,3,L,100,89,B,0,0,"16, 19",22,
2A,300,7,2,10,0,1,N,100,77,F,0,0,11,12,
2B,480,9,3,19,-8,2,L,90,85,F,0,0,13,14,
2C,720,13,4,25,-12,3,L,100,89,F,0,0,16,17,
6A,550,9,3,24,-10,3,L,90,79,B,5-11 H,0,16,28,
6B,650,24,3,12,4,4,L,90,92,B,13-26 FT,0,18,36,Fatal Counter
6B Feint,0,0,0,31,0,0,0,0,0,0,0,0,0,0,Can cancel into throw 24-31
6C,"500, 300, 650",13,2 (8) 3 (17) 2,31,-12,5,L,90,94,B,0,0,20,30,
3C,700,10,2,30,-13,4,L,90,92,F,0,0,18,19,
j.A,300,7,3,9,0,1,N,80,77,H,0,0,11,12,
j.B,380*2,10,4 (2) 2,14,0,2,L,80,85,H,0,0,13,16,
j.C,"350*2, 550",11,2 (3) 2 (4) 2,18,0,"2,2,3",L,80,89,H,0,0,"13, 13, 16",22,
5D,620,13,4,18,-3,4,L,100,82,BP,0,0,18,19,Bigger Hitbox during OD
2D,680,40,15,61,5,4,L,90,82,P1,0,0,18+8,36+8,Bonus Proration 110%
2D OD,350*3,40,3*5,61,11,4,L,90,82,P1,0,0,18+8,36+8,Bonus Proration 110%. Max 3 hits
6D,350,18,3,24,-8,4,L,100,100,B,0,0,18,60,"Fatal Counter. If within range, does followup"
6D Followup,"300*2, 550",0,0,0,0,"3*2,4",L,0,82,0,0,0,0,60,
6D Followup OD,"250*4, 550",0,0,0,0,"3*4,4",L,0,82,0,0,0,0,60,
4D,600,10,6,24,-16,2,L,100,85,B,0,0,13,Normal: 26<br/>OD: 28,Can block during last 8F of recovery
j.D,660,20,4,23,0,4,L,80,82,H,0,0,0,0,Bigger Hitbox during OD
j.2D,640,15,8,7,0,3,L,80,79,H,0,0,0,30,
Forward Throw,1500,7,3,23,0,4,N,100,50,T,0,0,0,100,
Back Throw,"300, 1200",7,3,23,0,4,N,100,50,T,0,0,0,"100, Slide 10",
Air Throw,"300, 1200",7,3,26,0,4,N,100,50,T,0,0,0,"100, Slide 10",
Counter Assault,0,13,4,35,-20,4,VS,50,92,B,1-20 All,0,18,19,
Crush Trigger,1000,20,1,25,0,0,N,80,60,B,0,0,24,60,
Crush Trigger Charged,1000,30,1,25,0,0,L,80,100,B,0,0,24,60,
Snakebite,520,16,3,13,-4,3,L,90,89,B,0,0,20,25,"Goes into followup on ground hit. On block, immediately goes into recovery animation (24F)"
Snakebite Followup,"300, 1000",0,0,0,0,3,L,100,89,0,0,0,0,0,
Retaliating Fang,"0, 196*14",25,3,43,0,1,VS,100,80,T,0,0,0,60,
Agonizing Fang,800,19,3,18,-4,3,N,80,89,B,0,0,16,17,
Cleaving Fang,"400*2, 1100",11,3,25,0,3,L,100,79,F,0,0,0,"30*2, 40, Wall 40",
Cleaving Fang CCC,"400*2, 250*3, 1100",11,3,25,0,3,L,100,79,F,0,0,0,"30*5, 40, Wall 40",
Gleaming Fang,"0, 2400",10,10,39,-4,5,N,100,"100, 70",B,1-21 P<br/>4 All,0,25+10?,60+10?,Fatal Counter. Only does followup hit if first hit hits opponent (not blocked). Can pass through opponent 1-42. Minimum Damage 15%. On block immediately goes into recovery animation (39F)
Gleaming Fang OD,"0, 1000, 0, 2400",10,12 (22) 4,36,-4,5,N,100,"100*2, 70",B,1-21 P<br/>4 All,0,25+10?,60+10?,Fatal Counter. Only does followup hit if first hit hits opponent (not blocked)
Air Gleaming Fang,"0, 2400",7,0,21,0,5,N,"100, 90","100, 70",H,1-Until L P<br/>4 All,0,25+10?,60+10?,Fatal Counter. Only does followup hit if first hit hits opponent (not blocked)
Air Gleaming Fang OD,"0, 1000, 2400",7,0,20,0,5,N,"100, 90","100*2, 70",H,1-Until L P<br/>4 All,0,25+10?,60+10?,Fatal Counter. Only does followup hit if first hit hits opponent (not blocked)
Divine Twin Blades,"1100*2, 1800",7,"4,8 (15) 6",48,-35,4,VS,80,0,"B*2, H",1-10 All,0,18,48,
Divine Twin Blades OD,1000*5,5,"4,4,4 (15) 6 (14) 4",30,-35,4,VS,80,0,"B*4, H",1-10 All,0,0,60,Only does final hit if opponent gets hit by preceding hit
Air Divine Twin Blades,"1100*2, 1800",11,"4,8 (15) 6",21,0,4,L,90,0,H,1-14 All,0,0,0,
Air Divine Twin Blades OD,1000*5,11,"4,4,4 (15) 6 (14) 4",8,0,4,L,90,0,H,1-14 All,0,0,60,Only does final hit if opponent gets hit by preceding hit
Serpent's Laceration Low,"800, 500, 1000, 2000",15,2,28,-13,3,L,90,89,F,13-16 All,0,0,"90, Wall 40, Slide 10",Minimum Damage 15% final hit has Minimum Damage 10%
Serpent's Laceration Low OD,"800, 400*14, 1000, 2500",15,2,28,-13,3,L,90,"89, 98*16",F,13-16 All,0,0,90,Minimum Damage 15% final hit has Minimum Damage 10%
Serpent's Laceration Overhead,"800, 200*4, 1000, 2500",15,2,16,-1,3,N,90,89,B,13-16 All,0,0,"90, Wall 40",First and Last hits have Minimum Damage 15%. Other hits have Minimum Damge 10%
Serpent's Laceration Overhead OD,"800, 400*14, 1000, 2500",15,2,16,-1,3,N,90,"89, 98*16",B,13-16 All,0,0,"90, Wall 40",Minimum Damage 15% final hit has Minimum Damage 10%
Venomous Bite (catch),0,0,0,187,0,0,0,0,0,0,1-112 Guard HBF,0,0,0,
