Move,Damage,Startup,Active,Recovery,FrameAdvantage
5A,300,6,6,9,-1
5B,750,9,7,10,0
5BB,750,11,3,9,5
5C,1050,15,6,16,-3
2A,300,9,3,9,2,2,N,90,85,F,,,13,17,
2B,750,12,6,18,-7,3,L,100,89,F,,,16,17,
2C,1100,13,6,50,-9,3,L,90,79,BP,9-18 H,,28+0 Hitstop,50+0 Histop,110% Bonus Proration
3C,1120,15,9,18,-9,4,L,90,92,F,11-23 F,,18,42,
6A,1060,19,9,14,-4,4,L,90,92,B,7-24 B,,18,19,
6B,1100,13,6,37,-24,4,L,90,82,B,6-18 H,,18,44,
6C,1300,28,8,9,2,4,L,80,92,H,,,18,24, Fatal Counter
Counter Assault,0,19,6,30,-17,4,VS,50,92,B,1-21 All,,18,19,
Crush Trigger,1000,20,1,25,0,,N,80,60,B,,,24,60,
Crush Trigger Charged,1000,30,1,25,0,,L,80,100,B,,,24,60,
5D,Normal:900 WP:1080,21,3,20,-4,4,N,90,92,B,,,18,Normal: 19<br/>WP: 60,
2D,Normal:700 WP:840,15,3,12,2,3,L,90,89,F,,,16,40,
6D,Normal:1000 WP:1200,27,7,14,-2,4,N,90,92,B,,,18,Normal: 40<br/>WP: 60,
3D,Normal:1000 WP:1200,24,6,15,-2,4,L,90,92,F,,,18,Normal: 40<br/>WP: 60,
Rekka1,800,13,3,18,-4,3,L,100,89,B,,,16,17,"Can cancel into Cobra, Valiant, or Hornet on hit, block, or whiff"
Rekka2,800,10,5,18,-6,3,L,100,89,B,,,16,36,"Can cancel into Leopard, Valiant, or Hornet on hit, block, or whiff"
Rekka3,1300,16,3,30,-14,4,L,100,72,B,,,18,"60, Wall 16, Slide 20",
DP,1000*2,18,12 (14) Until L+4,30,0,4,VS,"60, 80",,"B, H",1-20 All<br>21-29 H,,18,60,
Growler,900,5,7,36,-26,3,N,70,89,B,1-?? Guard P,,16,17,"Hold button to prolong stance. After releasing button, Azrael goes into 11F recovery animation"
Phalanx Cannon,1400,5,Until Offscreen,26,-1,3,N,80,89,P2,,,17+3 Hitstop,30+3 Hitstop,
Gustaf,800,13,6,24,1,3,L,80,89,B,,,30,24,
Stomp,1000,47,3,55,12,3,L,100,89,P1,1-10 Guard All?,,16+3 Hitstop,"30+3 Hitstop, Wall 30",
Hornet Bunker,Normal: 1200<br/>WP: 1440,27,10,24,-15,4,L,100,92,F,10-15~48 Guard HBFP,,18,19,Full charge is Fatal Counter on normal hit. Loses Guard Point 9F before becoming active
Valiant Crash,Normal: 1200<br/>WP: 1440,25,9,38,-26,5,L,100,94,B,11-19~50 Guard HBFP,,20,21,Full charge is Fatal Counter on normal hit. Loses Guard Point 6F before becoming active
Taunt,100,24,4,114,-101,3,L,100,89,B,,,16,17,
Black Hawk,Normal: 3000 OD: 3700,11,3,54,-38,4,N,70,92,B,7-12 Guard HBFPT,,18,"Normal: 60<br/>OD: 60, Slide 40",
Scud,"Normal: 600, 1500 OD: 600, 300*2, 1500",16,3,45,-27,5,VS,100,100,B,1-18 All,,20,21,
EA,"Normal: 600*3, 1400 AF: 600, 1200*2, 3100",10,3,34,-10,100,,100,,B,Fast 1-22 All<br/>Slow 1-12 All,,26,,10% Minimum Damage
Astral,32000,12,19,128,-126,5,,,,B,1-30 All,,,,
