Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,6,3,11,-2,1,N,100,77,B,,,11,12,
5B,600,8,3,18,-4,3,L,100,85,B,,,16,17,
5BB,500,10,3,18,-4,3,L,100,89,B,,,16,17,
5C,900,12,3,18,-4,3,L,100,89,B,,,16,19,
2A,300,7,3,10,-1,1,N,100,77,F,,,11,12,
2B,550,9,3,15,-4,2,L,90,85,F,,,13,14,
2BB,500,10,3,15,-4,2,L,90,85,F,,,13,14,
2C,800,13,3,25,-11,3,L,90,89,B,8-15 H,,16,28,
3C,900,12,3,24,-6,4,L,100,92,F,,,18,40,
6A,650,17,3,15,-1,3,L,90,89,F,,,16,17,
6B,800,18,3,22,-8,3,L,90,89,B,5-20 F,,16,17,
6BB,700,13,3,24,-10,3,L,100,89,B,,,16,30,
4B,700,25,3,21,-5,3,N,100,89,B,,,16,17,
4BB,500,16,3,20,-6,3,L,100,89,B,,,16,17,
6C,620*3,17,3 (9) 3 (8) 3,16,,"3,3,4",L,100,82,H,,,"16*2, 18",30,Fatal Counter
j.A,300,7,3,9,,1,N,80,,H,,,11,12,
j.B,600,9,3,11,,3,L,80,,H,,,16,17,
j.BB,500,8,2,20,,3,L,80,,H,,,16,17,
j.C,900,12,6,19,,3,L,80,,H,,,16,19,First 3 Active Frames can hit crossup
Forward Throw,1500,5,5,23,,4,N,100,50,T,,,,60,
Back Throw,"200*4, 700",5,5,23,,4,N,100,50,T,,,,60,
Air Throw,1500,7,3,26,,4,N,100,50,T,,,,80,
Counter Assault,0,13,3,30,-14,4,VS,50,92,B,1-20 All,,18,19,
Crush Trigger,1000,20,1,25,0,,N,80,60,B,,,24,60,
Crush Trigger Charged,1000,30,1,25,0,,L,80,100,B,,,24,60,

5D,900,27,3,56,-5,3,N,80,89,P1,,,16,30,
5D OD,900,14,3,47,-3,4,N,80,92,P1,,,18,30,
6D,900,27,3,20,-6,3,N,80,89,B,,,16,30,
6D OD,900,25,3,20,-4,4,N,80,92,B,,,18,30,
2D,900,45,3,71,-9,3,N,70,89,P1,4-39 P,,16,48,Fatal Counter
2D OD,900,25,3,51,-7,4,N,70,92,P1,4-21 P,,18,48,Fatal Counter
3D,900,45,3,9,2,3,N,70,89,B,4-39 P,,16,,
3D OD,900,25,3,9,2,4,N,70,92,B,4-21 P,,18,,
j.D,900,34,3,64,,3,N,80,89,P1,,,16,"36, 30 after Wall",
j.D OD,900,17,3,56,,4,N,80,92,P1,,,18,30,
j.6D,900,34,3,22,,3,N,80,89,H,,,16,40,
j.6D OD,900,17,3,22,,4,N,80,92,H,,,18,"40, 50 after Wall",
j.2D,900,34,3,68,,3,N,80,89,P1,,,16,40,Can cancel into normals during last 13F
j.2D OD,900,24,3,58,,4,N,80,92,P1,,,18,48,Can cancel into normals during last 13F
j.3D,900,34,3,23,,3,N,80,89,H,,,16,40,
j.3D OD,900,25,3,23,,4,N,80,92,H,,,18,48,
Double Wing Cyclone,600*4,9,2*4,56,-41,3,VS,80,89,B,1-34 All,,16,60,
Air Double Wing Cyclone,600*4,7,2*4,56,,3,VS,80,89,H,1-10 All,,16,45,
Piercing Muzzle-blade,800,13,Until L,7,,3,L,80,89,H,,,16,60,
Soaring Kick,,,,7,,,,,,,,,,,Can cancel into followups 15F onwards?
Air Soaring Kick,,,,7,,,,,,,,,,,Can cancel into followups 11F onwards?
Soaring Kick> Piercing Feather,500 per shot,16,8,,,1,N,80,100,P1,,,11+9 Hitstop,14+9 Hitstop,Can cancel into normals and specials 34F onwards
Soaring Kick> Pulverizing Fin,"0, 2500",5,Until L,15,,4,N,100,92,T,1-6 T,,18,60,
Soaring Kick> Thrashing Claw,1100,12,3,33,,4,N,100,72,H,,,18,50,
Soaring Kick> Catastrophic Strike,,,,16,,,,,,,1-Until L HBF,,,,
Catastrophic Strike Ground,800*3,14,2*9,30,,5,L,90,94,B,,,20,"60, 60 after Wall","Fatal Counter. Only does 3 hits. Hibiki does ground version when opponent is standing/crouching, otherwise air version."
Catastrophic Strike Air,800*3,13,2*9,23,,5,L,90,94,B,,,20,"60, 60 after Wall","Fatal Counter. Only does 3 hits. Hibiki does ground version when opponent is standing/crouching, otherwise air version."
Dual Wing Smash: Heaven,1000,46,3,15,0,4,N,90,92,H,12-24 All,,18,40,
Dual Wing Smash: Heaven Feint,,,,18,,,,100,,,12-?? All,,,,
Dual Wing Smash: Earth,1000,55,5,15,-1,4,L,90,92,,12-24 All,,18,30,Can pass through opponent 21-36
Dual Wing Smash: Earth Feint,,,,18,,,,,,F,12-?? All,,,,
Soaring Slash,"600, 1200",14,9,21,-5,3,L,100,83,B,,,16,40,On block immediately goes into recovery animation for 21F
Soaring Slash: Revolution,1200,21,3,29,-13,4,N,100,92,B,,,18,60,"On miss, has 22F recovery after startup"
Fireball Super,"Normal: 600, 900*2, 2400 OD: 600, 570*10",9,Until Offscreen,74,-37,3,L,80,"100, 84",P2,1-23 All,,16+11,,
Dragoon Super,"Normal: 2000 OD: 1200, 0, 3000",8,Until Ground,123,-102,5,N,70,94,H,2-7 All,,20,100,
EA,"Normal: 600, 800, 1550 AF: 600, 1000, 1370*3",10,3,34,-10,100,,100,,B,Fast 1-22 All<br/>Slow 1-12 All,,26,,10% Minimum Damage
Astral,12412,15,3,51,-35,4,,,,B,1-17 All,,18,,
