Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,6,3,11,-2,1,N,100,77,B,,,11,12,
5B,400*2,8,4 (2) 1,16,-3,2,L,100,85,B,,,13,14,
5C,800,10,4,19,-6,3,L,100,89,B,,,16,20,"During OD, freezes for 30, Freeze Count 3. Hitbox fully extended on 12"
2A,300,7,4,9,-1,1,N,100,77,F,,,11,12,
2B,600,9,2,15,-3,2,L,90,85,F,,,13,14,
2C,930,17,3,31,-17,3,L,90,89,B,9-19 H,,16,24,"During OD, freezes for 30, Freeze Count 3"
6A,640,19,3,20,-4,4,N,80,89,B,,,18,19,Bonus Proration 110
6B,840,19,4,18,-3,4,L,90,92,H,4-22 F,,18,26,
6C,1060,19,3,31,-13,5,L,100,84,B,,,20,36,"During OD, freezes for 45, Freeze Count 3"
3C,900,13,4,28,-15,3,L,90,89,F,,,16,26,"During OD, freezes for 30, Freeze Count 3"
j.A,300,7,3,9,,1,N,80,77,H,,,11,12,
j.B,600,9,7,30,,3,L,80,89,H,,,16,17,
j.C,850,10,3,24,,3,L,80,89,H,,,16,17,"During OD, freezes for 30, Freeze Count 3"
j.2C,850,13,5,24,,3,L,80,89,H,,,16,19,"During OD, freezes for 30, Freeze Count 3"
Forward Throw,1500,7,3,23,,4,N,100,50,T,,,,19,Freezes for 55. Freeze Count 3
Back Throw,1500,7,3,23,,4,N,100,50,T,,,,19,Freezes for 55. Freeze Count 3
Air Throw,1500,7,3,26,,4,N,100,50,T,,,,19,Freezes for 65. Freeze Count 3
Counter Assault,0,13,5,34,-20,4,VS,50,92,B,1-20 All,,18,19,
Crush Trigger,1000,20,1,25,0,,N,80,60,B,,,24,60,Freezes for 60. Freeze Count 3
Crush Trigger Charged,1000,30,1,25,0,,L,80,100,B,,,24,60,Freezes for 60. Freeze Count 3
