Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,6,3,10,-1,1,N,85,77,B,0,0,11,14,
5B,600,9,4,16,-3,3,L,100,89,B,0,0,16,17,
5C,900,13,4,16,-1,4,L,100,92,B,0,0,18,19,Fatal Counter
5xA,600,8,3,13,1,3,L,100,89,B,0,0,16,24,
5xB,900,10,4,14,-1,3,L,100,89,B,0,0,16,26,Hold button to go into 5x[B] on 22F
5xC,850,9,5,18,-6,3,L,100,89,B,0,0,16,22,
5xAA,1200,16,4,18,-3,4,L,82,92,B,0,0,18,34,Fatal Counter
5xCC,230*6~24,8,3*6~24,22,-8,3,L,100,69,B,0,0,16,35,Press C to do 6 more hits. Max 24 hits.
5xAB/5xAC,600,0,0,0,0,3,L,100,89,B,0,0,16,30,Only attacks the first time this move is used in a string. Bonus Proration 110%
5xAB/5xAC (shot),600,18,0,57,-21,2,N,80,85,P1,0,0,13+5 Hitstop,17+5 Hitstop,
5x[B],0,0,0,0,0,0,0,0,0,0,18-? Guard B,0,0,0,"Can cancel into attacks during Guard Point frames. When re-entering stance from 5x[B]A, Guard Point starts on 9F"
5x[B]>A,600,13,3,14,-3,2,L,80,85,F,0,0,13,30,"If B button is held, then cancels recovery and enters stance on 21. Bonus Proration 110%"
5x[B]>6A,1000,13,9,21,-11,4,L,100,92,B,0,0,18,"42, Slide 10",Fatal
5x[B]>8A,800,20,3,23,-7,4,N,90,82,H,4-22 FT,0,18,50,
5xCA,900,21,6,15,-2,4,N,90,82,B,0,0,18,60,
5xCB,980,28,3,6,7,4,N,90,92,H,0,0,15,19,
2A,300,7,3,10,-1,1,N,80,85,F,0,0,11,14,
2B,700,10,3,18,-4,3,L,80,89,F,0,0,16,40,
2C,850,10,4,30,-15,4,L,90,82,B,10-13 H,0,18,26,
2xC,900,12,6,19,-8,3,L,100,89,F,0,0,16,17,
j.A,300,6,3,9,0,1,N,80,77,H,0,0,11,14,
j.B,750,9,4 (2) 2,12,0,3,L,80,89,H,0,0,16,20,Only does 1 hit. Last set of active frames hits crossup
j.C,900,11,4,24,0,3,L,80,89,H,0,0,16,23,
5D,800,25,0,72,0,3,N,70,79,P1,0,0,13+2 Hitstop,35+2 Hitstop,
