Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,6,3,12,-1,2,N,100,80,B,,,13,14,
5AA,600,8,4,14,-1,3,L,100,89,B,,,16,17,
5B,550,8,3,18,-4,3,L,100,89,B,,,16,17,
5C,800,12,4,18,-3,4,L,100,92,B,,,18,19,
2A,300,7,2,12,-2,1,N,90,77,F,,,11,12,
2B,480,8,3,15,-4,2,L,90,85,F,,,13,14,
2C,850,11,6,22,-11,3,L,90,89,B,7-13 H,,16,23,
6A,700,24,3,24,-10,3,N,80,89,B,,,16,17,
6B,750,17,4,16,-1,4,L,80,92,H,5-24 FT,,18,19,Invincibility lasts until landing
6C,800,35,4,17,-2,4,L,80,92,H,,,18,30,
3C,780,11,4,17,-2,3,L,100,79,F,,,16,17,
j.A,300,7,3,9,,1,N,80,77,H,,,11,12,
j.B,580,9,6,13,,2,L,80,85,H,,,13,14,
j.C,900,10,6,12,,3,L,80,89,H,,,16,17,
5D,900,20 OD: 18,5,18,-2,5,L,100,89,B,,,20,30,
5D Charged,1350,40 ,5,18,-1,5,L,100,94,B,,,20,40,
2D,900,22,5,18,-2,5,L,90,89,F,,,20,30,
2D Charged,1350,44,5,18,-1,5,L,90,94,F,,,20,"40, Wall 30",
6D,1000,24,6,17,-2,5,L,100,89,B,,,20,40,
6D Charged,1500,48,6,17,-1,5,L,100,94,B,,,20,60,
j.D,900,20,5,23,,4,L,100,79,H,,,18,40,
j.D Charged,1350,40,5,18+5L,,5,L,100,84,H,,,20,60,
5D OD,900,18,5,18,-2,5,L,100,89,B,,,20,30,
5D OD Charged,1350,28,5,18,-1,5,L,100,94,B,,,20,40,
2D OD,900,20,5,18,-2,5,L,90,89,F,,,20,30,
2D OD Charged,1350,32,5,18,-1,5,L,90,94,F,,,20,"40, Wall 30",
6D OD,1000,22,6,17,-2,5,L,100,89,B,,,20,40,
6D OD Charged,1500,36,6,17,-1,5,L,100,94,B,,,20,60,
j.D OD,900,18,5,23,,4,L,100,79,H,,,18,40,
j.D OD Charged,1350,28,5,18+5L,,5,L,100,84,H,,,20,60,
Forward Throw,1500,7,3,23,,4,N,100,50,T,,,,80,
Back Throw,1500,7,3,23,,4,N,100,50,T,,,,,
Air Throw,1500,7,3,26,,4,N,100,50,T,,,,,
Counter Assault,0,13,6,30,-17,4,VS,50,92,B,1-20 All,,18,19,
Crush Trigger,1000,20,1,25,0,,N,80,60,B,,,24,60,
Crush Trigger Charged,1000,30,1,25,0,,L,80,100,B,,,24,60,
Banishing Fang,700,13,3,17,-3,3,L,100,89,B,,,16,17,
Banishing Fang: Roar,800,9,6,18,-7,3,L,100,89,B,,,16,28,
Banishing Fang: Raid,1000,18,8,30,-19,4,L,100,60,B,,,18,30,Hitbox fully extended upwards on 18F
