Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,6,3,10,-1,1,N,100,,B,,,11,12,
5B,600,9,3,16,-2,3,L,100,,B,,,16,17,
5C,900,12,2,19,-2,4,L,100,,BP,,,18,19,
2A,300,6,3,10,-1,1,N,100,,F,,,11,12,
2B,500,7,2,12,0,2,N,90,,F,,,13,14,
2C,550,13,"2,2",14,1,3,L,90,,FP,,,16,19,
6A,700,11,3,26,-18,3,L,90,79,B,6-11 H,,16,17,
6B,800,26,5,18,-6,3,N,90,,B,,,16,17,
6C,550*2,8,11 (9) 4,25,-10,4,L,100,,"B, BP",,,18,27,
3C,,20,3,32,-18,3,L,90,,FP,,,16,40,
j.A,300,6,2,9,,1,N,80,,H,,,11,12,
j.B,600,7,6,17,,2,L,80,,H,,,13,17,
j.C,450*3,10,"2,2,2",16,,3,L,80,,HP,,,16,17,
j.2C,900,13,3,28,,4,L,80,82,HP,,,18,48,Bonus Proration 110%
Forward Throw,"600, 900",7,3,23,,3,N,100,50,T,,,,"35, Slide 15",
Back Throw,"600, 900",7,3,23,,3,N,100,50,T,,,,"35, Slide 15",
Air Throw,1500,7,3,26,,0,N,100,50,T,,,,40,
Counter Assault,0,13,6,30,,4,VS,50,92,B,1-20 All,,,,
Crush Trigger,1000,20,1,25,0,,N,80,60,B,,,24,60,
Crush Trigger Charged,1000,30,1,25,0,,L,80,100,B,,,24,60,
5D,900,23,4,37,-25,3,L,80,,BP,,,16,30,Fatal Counter
5D OD,900,23,4,18,-6,3,L,80,,BP,,,16,30,Fatal Counter
2D,420*3,26,"3,3,3",37,-21,4,L,80,82,HP,4-Until L F,,18,30,
2D OD,420*3,26,"3,3,3",18,-2,4,L,80,82,HP,4-Until L F,,18,30,
6D Far,900,39,2,44,-27,4,L,80,82,FP,4-35 BP,,18,45,
6D Far OD,900,39,2,25,-8,4,L,80,82,FP,4-35 BP,,18,45,
6D Near,900,27,2,44,-27,4,L,80,82,FP,4-23 BP,,18,45,
6D Near OD,900,27,2,25,-8,4,L,80,82,FP,4-23 BP,,18,45,
4D,900,25,7,37,-25,4,N,80,82,HBFP,1-31 BP,,18,40,
4D,900,25,7,18,-6,4,N,80,82,HBFP,1-31 BP,,18,40,
j.D,650*2,16,"4,5",31,,4,N,80,82,HP,4-15 B,,18,45,
j.D OD,650*2,16,"4,5",12,,4,N,80,82,HP,4-15 B,,18,45,
d5A,480,8,2,37,-22,3,L,80,,B,,,16,,Fatal Counter
d6A,400*2,13,2 (3) 2,35,-16,3,L,80,,BP,,,20,24,
d5B,400*2,11,3 (2) 2,33,-16,4,L,80,,"B, BP",,,18,"40, Wall 15, Slide 10",
d6B,650,16,3,Normal: 44,-28,4,N,80,82,B,,,18,,Bonus Proration 110%
d5C,450*2,17,2 (2) 2,52,-25,4,L,80,,BP,,,18,25,
d6C,150*9,23,4*9,Normal: 84,0,4,L,80,99,P1,,,18+2 Hitstop,30+2 Hitstop,
d5D,800,18,6,35<br/>OD: 16,-24,3,L,80,,BP,,,16,30,
d2D,420*3,26,"3,3,3",37,-21,4,L,80,,HP,4-Until L F,,18,30,
d4D,800,25,4,30,-34,4,L,80,,FP,5-28 BP,,18,40,
d6D No crossup,800,24,2,44,-27,4,L,80,,FP,4-25 BP,,18,60,
d6D Crossup,800,34,2,44,-27,4,L,80,,P*,4-35 BP,,18,60,Can pass through opponent 4-13F
d5A OD,480,8,2,18,-3,3,L,80,,B,,,16,,Fatal Counter
d6A OD,400*2,13,2 (3) 2,16,3,3,L,80,,BP,,,20,24,
d5B OD,400*2,11,3 (2) 2,14,3,4,L,80,,"B, BP",,,18,"40, Wall 15, Slide 10",
d6B OD,650,16,3,25,-9,4,N,80,82,B,,,18,,Bonus Proration 110%
d5C OD,450*2,17,2 (2) 2,33,-6,4,L,80,,BP,,,18,25,
d6C OD,150*9,23,4*9,65,19,4,L,80,99,P1,,,18+2 Hitstop,30+2 Hitstop,
d5D OD,800,18,6,16,-5,3,L,80,,BP,,,16,30,
d2D OD,420*3,26,"3,3,3",18,-2,4,L,80,,HP,4-Until L F,,18,30,
d4D OD,800,25,4,30,-15,4,L,80,,FP,5-28 BP,,18,40,
d6D OD No crossup,800,24,2,25,-8,4,L,80,,FP,4-25 BP,,18,60,
d6D OD Crossup,800,34,2,25,-8,4,L,80,,P*,4-35 BP,,18,60,Can pass through opponent 4-13F
236D,800*2,15,2 (7) 8,28,-15,5,L,90,,"B, BP",,,20,"21, 50, Wall 50",
236D OD,"800*2, 400*3",15,"2 (7) 2,2,2,2",28,-9,5,L,90,,"B, BP",,,20,"21, 50, Wall 50*4",
623D,1300,8,7,32,-20,4,N,70,82,B,1-10 All,,18,48,
623D OD,1300,8,7,32,-20,4,N,70,82,B,1-10 All,,18,60,
214D,900,31,7,16,0,4,N,90,82,B,1-18 All,,22,"40, Wall 50, Slide 30",Can pass through opponent 1-18
214D OD,900,31,7,16,0,4,N,90,82,B,1-18 All,,22,"40, Wall 50, Slide 30",Can pass through opponent 1-18
Type XVII: Chamber Shot,1100,15,6,23,-10,4,L,,72,BP,,,18,40,
Type XI: Optic Barrel A,650,19,12,51,-8,3,L,90,,P1,,,16+8 Hitstop,38,Can dash cancel 31-35
Type XI: Optic Barrel B,650,19,12,51,-8,3,L,90,,P2,,,16+8 Hitstop,38,Can dash cancel 31-35
Type IX: Muzzle Flitter,"0, 2000",26,6,16,,0,N,100,"100, 92",HT,,,,,Minimum Damage 50%
Type XIII: Revolver Blast,200,10,3*4,8,,2,L,,98,HP,,,13,14,
Type VI: Flash Suppressor B,200,11,2,15,,1,L,,90,F,,,11,12,
Type VI: Flash Suppressor C,300,17,4,22,,4,L,,,F,,,18,38,Dash cancel from 21-29
Dash Cancel,,,,22,,,,,,,,,,,
Zero Gun: Fenrir (Strike),800,6,5,138,,5,N,80,80,B,1-10 Guard All,,20,50,
Zero Gun: Fenrir ( on hit bullets),"Normal: 100*16, 3000<br/>OD: 100*31, 3000",,,,,,N,80,100,P2,,,,"70, 120",All hits except final hit have Minimum Damage 10%. Final hit has Minimum Damage 20%
Zero Gun: Fenrir (on miss/block bullets),300*24,22,,148,,,N,80,100,P2,,,,70,Minimum Damage 10%. Fires bullets every 3F until 24 shots are fired
Bullet Storm > Zero Gun: Thor,"330*10, 1900",18,,0,,,"N*10, L",,,P2,1-4 All,,,120,All hits except final hit have Minimum Damage 10%. Final hit has Minimum Damage 20%
Bullet Storm > Zero Gun: Thor OD,"330*19, 2000",18,,0,,,"N*19, L",80,97,P2,,,,"100, 120",All hits except final hit have Minimum Damage 10%. Final hit has Minimum Damage 20%
EA,"Normal: 600, 660, 1700 AF: 600, 500*3, 80*16, 660, 1700",10,3,34,-10,100,,100,,B,Fast: 1-12 All<br/>Slow: 1-22 All,,26,Slide 40,10% Minimum Damage
Astral,30000,,,8+79,,,,100,100,,1-8 All<br/>8-55 Guard HBF,,,,
Old Astral,30000,8+20,4,25,-10,4,,,,B,1-42 All,,18+0,,
