Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,6,2,11,-1,1,N,100,77,B,,,11,12,
5B,580,11,6,15,-4,3,L,100,89,B,,,16,17,
5C,810,9,6,19,-8,3,L,100,89,B,,,16,19,
2A,300,8,3,10,-1,1,N,80,77,F,,,11,12,
2B,560,10,3,21,-10,2,L,90,85,F,,,13,14,
2C,870,15,8,24,-13,4,L,90,82,B,9-22 H,,18,44,
6A,630,12,4,22,-9,3,L,90,89,B,6-15 H,,16,26,
6B,640,20,12,7,-3,3,N,90,79,H,,,16,33,"On whiff, recovery is 19. Bonus Proration 110%"
6C,950,19,5,26,-11,5,L,90,84,B,3-26 F,,20,40,Fatal Counter
3C,850,12,3,24,-8,4,L,90,92,F,,,18,30,
j.A,300,7,2,9,,1,N,80,77,H,,,11,12,
j.AA,300,6,2,9,,1,N,80,77,H,,,11,12,
j.B,540,8,6,9,,2,L,80,85,H,,,13,17,
j.C,830,12,4,17,,3,L,80,89,H,,,16,23,
j.2C,450*3,12,"4,4,4",18+2L,,1,L,80,77,H,,,11,14,
Forward Throw,"0, 1500",7,3,23,,4,N,100,50,T,,,,,
Back Throw,"0, 1500",7,3,23,,4,N,100,50,T,,,,100,
Air Throw,"0, 1500",7,3,26,,4,N,100,50,T,,,,100,
Counter Assault,0,13,4,29,-14,4,VS,50,92,B,1-20 All,,18,19,
Crush Trigger,1000,20,1,25,0,,N,80,60,B,,,24,"60, Slide 15",
Crush Trigger Charged,1000,30,1,25,0,,L,80,100,B,,,24,"60, Slide 15",
5D,,,,29,,,,,,,,,,,
j.D,,,,28,,,,,,,,,,,
5D Hammer,1200,16,5,17,1,4,L,80,82,B,,,22,28,
j.D Hammer Level 1,"700, see notes",12,"Until L, 3",20,2,4,L,80,82,H,,,18,30,Second hit does more damage increases the higher Platinum falls. Damage is 800/900/1000
j.D Hammer Level 2,"700, see notes",12,"Until L, 3",20,4,4,L,80,82,H,,,18,30,Second hit does more damage increases the higher Platinum falls. Damage is 800/900/1000
j.D Hammer Level 3,"700, see notes",12,"Until L, 3",20,6,4,L,80,82,H,,,18,30,Second hit does more damage increases the higher Platinum falls. Damage is 800/900/1000
5D Super Hammer,1500,16,5,18,3,5,L,80,84,B,,,25,28,
j.D Super Hammer Level 1,"900, see notes",12,"Until L, 3",20,4,5,L,80,84,H,,,20,28,Second hit does more damage increases the higher Platinum falls. Damage is 1300/1500/1700. Bonus proration 110%
j.D Super Hammer Level 2,"900, see notes",12,"Until L, 3",20,6,5,L,80,84,H,,,20,28,Second hit does more damage increases the higher Platinum falls. Damage is 1300/1500/1700. Bonus proration 110%
j.D Super Hammer Level 3,"900, see notes",12,"Until L, 3",20,8,5,L,80,84,H,,,20,28,Second hit does more damage increases the higher Platinum falls. Damage is 1300/1500/1700. Bonus proration 110%
5D Super Hammer (Quake),0,21,1,,,5,L,70,84,P2,,,,,Quake only appears if hammer strike whiffs
5D Cat,950,11,8,20,-11,3,L,80,79,B,,,16,40,
j.D Cat,950,16,5,20,,3,L,80,89,H,,,16,40,
5D Super Cat,1200,11,5,20,-10,4,L,80,82,B,,,18,50,Bonus proration 110%
j.D Super Cat,1200,14,5,20,,4,L,80,94,H,,,18,40,Bonus proration 110%
5D Fry Pan,850,10,6,18,-7,3,L,100,79,B,,,16,40,
j.D Fry Pan,850,14,4,20,,3,N,80,79,H,,,16,50,
5D Super Fan,1300,10,6,18,-5,4,L,100,82,B,,,18,60,Bonus proration 110%
j.D Super Fan,1300,13,4,20,,4,N,80,82,H,,,18,65,Fatal Counter. Bonus proration 110%
5D Bat,900,11,4,26,-16,2,VS,60,75,B,1-11 All,,13,"30, Wall 40",
j.D Bat,900,11,4,26,,2,VS,60,75,H,1-11 All,,13,"30, Wall 40",
5D Super Bat,1200,11,5,24,-10,4,VS,60,82,B,1-15 All,,18,"30, Wall 40",Bonus proration 110%
j.D Super Bat,1200,11,5,26,,4,VS,60,82,H,1-15 All,,18,"30, Wall 40",Bonus proration 110%
