Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5A,300,7,2,12,-2,1,N,100,77,B,0,0,11,12,
5B,300,6,2,12,-2,1,N,100,77,B,0,0,11,14,
5C,630,11,2,20,-5,3,L,100,89,B,0,0,16,17,
2A,300,6,2,14,-4,1,N,90,77,F,0,0,11,12,
2B,560,10,7,24,-14,3,L,90,89,F,0,0,16,17,
2C,700,17,2,23,-8,3,L,100,89,F,0,0,16,21,
6A,420*2,12,2 (4) 2,20,-8,2,L,100,85,B,7-13 H,0,13,19,
6B,700,26,4,17,-4,3,N,80,89,H,4-29 F,0,16,17,Bonus Proration 110%. Fatal Counter
6C,910,0,3,29,-14,4,L,90,92,B,0,0,18,"40, Wall 40",Bonus Proration 110%. Fatal Counter
6C Max Charge,1300,0,3,29,-14,4,L,90,92,B,0,0,18,19,Fatal Counter
3C,"300*2, 600",10,1 (4) 2 (12) 5,18,-6,3,L,90,89,F,0,0,16,40,
j.A,300,6,2,9,0,1,N,80,77,H,0,0,11,12,
j.B,500,9,6,15,0,2,L,80,85,H,0,0,13,17,
j.2B,600,14,2,18,0,3,L,80,89,H,0,0,13,14,
j.C,700,11,3,20,0,3,L,80,89,H,0,0,13,19,
Taunt,100*2,11,5(10)5,15,-10,0,N,100,20,B,0,0,9,30,
5D,800,19,8,24,0,4,N,80,89,H,0,0,14,"35, Slide 15","On hit/block, has 2F recovery before transitioning to followups, landing recovery reduced to 3"
2D,800,13,10,12,0,4,N,80,89,H,0,0,14,35,"On hit/block, has 2F recovery before transitioning to followups"
4D,1000,25,Until L,8,0,4,N,80,89,H,0,0,14,35,"On hit/block, has 2F recovery before transitioning to followups, landing recovery reduced to 3. Fatal"
j.D,900,11,12,20,0,4,N,80,89,H,0,0,14,35,"On hit/block, has 2F recovery before transitioning to followups, landing recovery reduced to 3"
j.2D,850,15,Until L,24,0,4,N,80,82,H,0,0,14,"35, Slide 10","On hit/block, has 2F recovery before transitioning to followups, landing recovery reduced to 3"
j.4D,"550, 800",4,Until L (15) 10,9,0,4,N,80,89,H,0,0,14,35,"On hit/block of 2nd hit, has 2F recovery before transitioning to followups, landing recovery reduced to 3"
j.8D,930,10,10+4L,9,0,4,N,80,89,H,0,0,14,35,
Forward D > Stop,0,0,0,30,0,0,0,0,0,0,0,0,0,0,
Upwards D > Stop,0,0,0,31,0,0,0,0,0,0,0,0,0,0,
Downwards D > Stop,0,0,0,31,0,0,0,0,0,0,0,0,0,0,
Forward D > Turn Ground,0,0,0,24,0,0,0,0,0,0,0,0,0,0,Can pass through oppoonent 2-16
Forward D > Turn Air,0,0,0,21,0,0,0,0,0,0,0,0,0,0,Can pass through oppoonent 2-16
Upward D > Turn,0,0,0,24,0,0,0,0,0,0,0,0,0,0,Can pass through oppoonent 2-16
